Date,ret,RM-Rf,SMB,HML,RMW,CMA,Lag1,Lag2,Lag3,Lag4,Lag5
10/21/2015,-0.787711871,-0.74,-0.91,-0.21,0.46,0.16,-0.114747031,0.114747031,0.383469916,1.500002964,-0.515436288
10/22/2015,1.455267402,1.5,-0.76,0.34,0.04,0.51,-0.787711871,-0.114747031,0.114747031,0.383469916,1.500002964
10/23/2015,1.04006222,1.09,-0.03,-0.55,0.2,-0.66,1.455267402,-0.787711871,-0.114747031,0.114747031,0.383469916
10/26/2015,-0.235404896,-0.2,-0.44,-0.72,0.23,-0.1,1.04006222,1.455267402,-0.787711871,-0.114747031,0.114747031
10/27/2015,-0.330554226,-0.42,-1.06,-0.92,-0.41,-0.5,-0.235404896,1.04006222,1.455267402,-0.787711871,-0.114747031
10/28/2015,1.30635631,1.43,1.52,0.67,-0.68,-0.15,-0.330554226,-0.235404896,1.04006222,1.455267402,-0.787711871
10/29/2015,-0.149503258,-0.2,-0.83,-0.08,0.37,-0.28,1.30635631,-0.330554226,-0.235404896,1.04006222,1.455267402
10/30/2015,-0.384127006,-0.42,0.18,-0.56,0.35,0.11,-0.149503258,1.30635631,-0.330554226,-0.235404896,1.04006222
11/2/2015,1.305606862,1.25,0.9,-0.02,-0.55,0.05,-0.384127006,-0.149503258,1.30635631,-0.330554226,-0.235404896
11/3/2015,0.24986424,0.32,0.43,0.25,0,-0.12,1.305606862,-0.384127006,-0.149503258,1.30635631,-0.330554226
11/4/2015,-0.24058348,-0.26,0.18,-0.32,-0.61,-0.69,0.24986424,1.305606862,-0.384127006,-0.149503258,1.30635631
11/5/2015,-0.111250125,-0.08,0.05,0.5,0.02,0.16,-0.24058348,0.24986424,1.305606862,-0.384127006,-0.149503258
11/6/2015,0.018555801,0.14,0.9,0.3,-0.52,-0.13,-0.111250125,-0.24058348,0.24986424,1.305606862,-0.384127006
11/9/2015,-1.006517745,-0.95,-0.3,-0.03,-0.63,-0.05,0.018555801,-0.111250125,-0.24058348,0.24986424,1.305606862
11/10/2015,0.224557008,0.13,-0.01,0.22,-0.13,0.21,-1.006517745,0.018555801,-0.111250125,-0.24058348,0.24986424
11/11/2015,-0.430846595,-0.43,-0.55,-0.18,-0.07,0.11,0.224557008,-1.006517745,0.018555801,-0.111250125,-0.24058348
11/12/2015,-1.503644278,-1.45,-0.58,-0.41,0.15,-0.27,-0.430846595,0.224557008,-1.006517745,0.018555801,-0.111250125
11/13/2015,-1.063257036,-1.07,0.32,0.35,-0.54,0.39,-1.503644278,-0.430846595,0.224557008,-1.006517745,0.018555801
11/16/2015,1.443640286,1.39,-0.54,0.48,0.17,-0.17,-1.063257036,-1.503644278,-0.430846595,0.224557008,-1.006517745
11/17/2015,-0.12345036,-0.11,-0.22,-0.64,0.03,-0.16,1.443640286,-1.063257036,-1.503644278,-0.430846595,0.224557008
11/18/2015,1.584041664,1.61,-0.02,-0.07,-0.13,-0.32,-0.12345036,1.443640286,-1.063257036,-1.503644278,-0.430846595
11/19/2015,-0.131040688,-0.13,-0.26,-0.16,0.18,0.08,1.584041664,-0.12345036,1.443640286,-1.063257036,-1.503644278
11/20/2015,0.42994398,0.35,0.41,-0.38,0.29,0.04,-0.131040688,1.584041664,-0.12345036,1.443640286,-1.063257036
11/23/2015,-0.102660544,-0.01,0.6,-0.35,0.08,-0.14,0.42994398,-0.131040688,1.584041664,-0.12345036,1.443640286
11/24/2015,0.261070794,0.21,0.74,0.25,0.18,0.13,-0.102660544,0.42994398,-0.131040688,1.584041664,-0.12345036
11/25/2015,0.074474645,0.09,0.85,-0.55,-0.1,-0.07,0.261070794,-0.102660544,0.42994398,-0.131040688,1.584041664
11/27/2015,0.148775848,0.09,0.21,-0.29,-0.15,0.07,0.074474645,0.261070794,-0.102660544,0.42994398,-0.131040688
11/30/2015,-0.428312035,-0.47,0.2,0.67,-0.23,0.03,0.148775848,0.074474645,0.261070794,-0.102660544,0.42994398
12/1/2015,0.938017053,0.97,-0.63,0.25,-0.08,-0.12,-0.428312035,0.148775848,0.074474645,0.261070794,-0.102660544
12/2/2015,-1.050042978,-1.01,0.2,-0.7,0.05,-0.08,0.938017053,-0.428312035,0.148775848,0.074474645,0.261070794
12/3/2015,-1.505925796,-1.5,-0.18,0.39,0.33,0.25,-1.050042978,0.938017053,-0.428312035,0.148775848,0.074474645
12/4/2015,1.823013263,1.87,-1.04,-0.48,0.14,-0.33,-1.505925796,-1.050042978,0.938017053,-0.428312035,0.148775848
12/7/2015,-0.785257685,-0.84,-0.88,-0.67,0.71,0.12,1.823013263,-1.505925796,-1.050042978,0.938017053,-0.428312035
12/8/2015,-0.602456681,-0.59,0.25,-1.2,-0.17,-0.65,-0.785257685,1.823013263,-1.505925796,-1.050042978,0.938017053
12/9/2015,-0.862943301,-0.83,-0.23,0.39,0.5,0.55,-0.602456681,-0.785257685,1.823013263,-1.505925796,-1.050042978
12/10/2015,0.294809094,0.3,0.1,-0.24,0.12,-0.15,-0.862943301,-0.602456681,-0.785257685,1.823013263,-1.505925796
12/11/2015,-1.985221471,-2.03,-0.2,-0.06,0.21,0.29,0.294809094,-0.862943301,-0.602456681,-0.785257685,1.823013263
12/14/2015,0.357753066,0.29,-1.11,-0.17,0.12,-0.38,-1.985221471,0.294809094,-0.862943301,-0.602456681,-0.785257685
12/15/2015,1.065613646,1.1,0.19,0.79,-0.79,0.01,0.357753066,-1.985221471,0.294809094,-0.862943301,-0.602456681
12/16/2015,1.441079795,1.47,0.01,-0.67,-0.14,-0.12,1.065613646,0.357753066,-1.985221471,0.294809094,-0.862943301
12/17/2015,-1.47926036,-1.46,0.33,-0.36,-0.23,0.01,1.441079795,1.065613646,0.357753066,-1.985221471,0.294809094
12/18/2015,-1.715049488,-1.7,0.7,-0.36,-0.3,0.25,-1.47926036,1.441079795,1.065613646,0.357753066,-1.985221471
12/21/2015,0.791445758,0.74,-0.17,-0.08,-0.13,0.08,-1.715049488,-1.47926036,1.441079795,1.065613646,0.357753066
12/22/2015,0.897747179,0.89,0,0.51,0.21,0.45,0.791445758,-1.715049488,-1.47926036,1.441079795,1.065613646
12/23/2015,1.241513326,1.3,0.23,0.56,-0.01,0.16,0.897747179,0.791445758,-1.715049488,-1.47926036,1.441079795
12/24/2015,-0.123469291,-0.11,0.27,-0.02,-0.2,0.12,1.241513326,0.897747179,0.791445758,-1.715049488,-1.47926036
12/28/2015,-0.218783331,-0.28,-0.52,-0.35,0.1,-0.07,-0.123469291,1.241513326,0.897747179,0.791445758,-1.715049488
12/29/2015,1.061037472,1.05,0.03,-0.29,0.01,-0.32,-0.218783331,-0.123469291,1.241513326,0.897747179,0.791445758
12/30/2015,-0.756725871,-0.74,-0.17,-0.15,0.07,0.17,1.061037472,-0.218783331,-0.123469291,1.241513326,0.897747179
12/31/2015,-0.973208232,-0.92,-0.23,0.23,-0.12,0.09,-0.756725871,1.061037472,-0.218783331,-0.123469291,1.241513326
1/4/2016,-1.506995688,-1.59,-0.76,0.52,0.35,0.4,-0.973208232,-0.756725871,1.061037472,-0.218783331,-0.123469291
1/5/2016,0.22363047,0.12,-0.24,0.01,0.07,0.31,-1.506995688,-0.973208232,-0.756725871,1.061037472,-0.218783331
1/6/2016,-1.349266785,-1.35,-0.22,0,0.16,0.05,0.22363047,-1.506995688,-0.973208232,-0.756725871,1.061037472
1/7/2016,-2.481559345,-2.44,-0.29,0.09,0.52,0.36,-1.349266785,0.22363047,-1.506995688,-0.973208232,-0.756725871
1/8/2016,-1.146818873,-1.11,-0.51,-0.04,0.25,0.06,-2.481559345,-1.349266785,0.22363047,-1.506995688,-0.973208232
1/11/2016,-0.061242705,-0.06,-0.61,0.38,0.69,0.33,-1.146818873,-2.481559345,-1.349266785,0.22363047,-1.506995688
1/12/2016,0.681945159,0.72,-0.47,-0.79,-0.08,-0.38,-0.061242705,-1.146818873,-2.481559345,-1.349266785,0.22363047
1/13/2016,-2.61034276,-2.67,-0.61,0.81,0.4,0.63,0.681945159,-0.061242705,-1.146818873,-2.481559345,-1.349266785
1/14/2016,1.519023427,1.65,-0.05,-0.38,-0.6,-0.41,-2.61034276,0.681945159,-0.061242705,-1.146818873,-2.481559345
1/15/2016,-2.124798402,-2.14,0.39,-0.24,0.37,0.45,1.519023427,-2.61034276,0.681945159,-0.061242705,-1.146818873
1/19/2016,-0.104792558,-0.2,-1.36,-0.05,0.35,0.24,-2.124798402,1.519023427,-2.61034276,0.681945159,-0.061242705
1/20/2016,-0.990637999,-0.94,1.75,-1.25,0.1,-0.52,-0.104792558,-2.124798402,1.519023427,-2.61034276,0.681945159
1/21/2016,0.391118074,0.45,-0.47,-0.01,0.48,0.63,-0.990637999,-0.104792558,-2.124798402,1.519023427,-2.61034276
1/22/2016,2.108621657,2.08,0.13,-0.21,-0.47,-0.65,0.391118074,-0.990637999,-0.104792558,-2.124798402,1.519023427
